text_response,anxiety_label,anxiety_code,heart_rate,sleep_hours,study_hours_per_day,days_since_last_break,social_interactions_per_week,water_intake_liters,exercise_minutes_per_day
My appetite has slightly reduced during exam preparation,Moderate,1,82.4,4.8,6.9,3,3,1.6,5
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,86.3,6.1,6.8,5,6,1.8,19
I have been studying consistently and feel confident,Low,0,69.1,7.9,5.4,0,6,2.3,46
My mind goes completely blank whenever I try to study,High,2,110.8,4.7,8.5,5,2,0.7,5
I feel stressed but try to manage it with breaks,Moderate,1,87.2,5.7,8.1,4,5,2.0,21
My preparation is going smoothly without much stress,Low,0,66.9,7.9,5.2,1,6,2.3,23
I have been studying consistently and feel confident,Low,0,67.8,7.7,4.4,0,10,2.7,46
I feel completely hopeless and unprepared for the exams,High,2,99.7,4.1,9.5,14,0,0.9,3
I enjoy studying and feel ready for assessments,Low,0,73.3,7.0,5.6,2,10,2.0,32
I experience panic attacks when I think about exams,High,2,92.4,5.9,7.7,6,2,1.4,1
I feel stressed but try to manage it with breaks,Moderate,1,92.5,6.7,7.9,3,6,1.7,17
I feel extremely stressed and cannot focus on anything,High,2,98.6,4.5,7.8,8,0,1.4,9
I feel quite relaxed about my upcoming exams,Low,0,62.8,6.9,4.4,2,9,2.5,23
I enjoy studying and feel ready for assessments,Low,0,76.8,7.7,5.8,0,9,3.1,26
I enjoy studying and feel ready for assessments,Low,0,70.7,7.9,6.5,2,8,2.5,55
I feel like everything depends on this exam and I might fail,High,2,95.4,4.4,12.0,9,1,0.8,4
I feel overwhelmed when I look at the entire syllabus,Moderate,1,78.9,6.0,5.9,5,6,1.5,18
I feel stressed but try to manage it with breaks,Moderate,1,71.7,6.4,6.4,3,4,1.4,21
The thought of the exam fills me with dread and terror,High,2,89.1,4.5,9.0,14,0,1.3,7
I cry frequently because of the unbearable exam pressure,High,2,107.9,4.3,8.2,11,1,1.1,4
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,80.2,5.9,9.6,2,4,1.3,8
I feel stressed but try to manage it with breaks,Moderate,1,81.2,6.5,8.3,3,5,2.2,6
Exams do not bother me much this time,Low,0,73.5,7.6,5.0,2,7,2.4,23
I have been feeling restless lately because of exams,Moderate,1,93.9,5.8,6.2,3,3,1.6,25
I sometimes procrastinate due to exam pressure and worry,Moderate,1,86.8,6.6,6.4,3,5,1.8,22
I sometimes procrastinate due to exam pressure and worry,Moderate,1,89.5,5.7,6.9,3,6,2.2,21
The thought of the exam fills me with dread and terror,High,2,98.8,4.6,9.5,10,0,1.3,8
I manage my time well and feel in control,Low,0,69.1,7.8,6.7,0,9,2.6,20
I have not been able to sleep for days because of exam fear,High,2,96.6,2.8,9.7,11,1,0.9,2
I experience panic attacks when I think about exams,High,2,89.1,3.6,8.6,14,2,1.0,9
I enjoy studying and feel ready for assessments,Low,0,73.6,7.4,4.5,1,8,2.0,52
I feel tense when thinking about results but manage to study,Moderate,1,70.1,5.5,6.8,2,4,1.5,7
I feel quite relaxed about my upcoming exams,Low,0,71.9,8.1,5.5,0,8,2.4,53
I feel overwhelmed when I look at the entire syllabus,Moderate,1,86.7,6.1,6.4,2,5,1.9,15
I have not been able to sleep for days because of exam fear,High,2,95.3,4.9,10.4,14,1,1.2,5
I feel tense when thinking about results but manage to study,Moderate,1,79.3,6.0,6.6,2,6,1.6,24
I feel a little nervous but it motivates me positively,Low,0,73.0,8.1,4.0,1,10,2.5,47
I worry a bit about failing but I keep studying,Moderate,1,90.3,5.8,7.4,4,3,1.6,7
I feel a little nervous but it motivates me positively,Low,0,64.2,7.8,3.7,1,10,3.0,45
I am calm and focused during my study sessions,Low,0,71.8,8.3,2.4,1,10,2.7,43
My heart races and I feel nauseous when exam date approaches,High,2,98.1,4.3,9.0,11,2,1.1,0
I cannot stop worrying about failing the exam at all,High,2,89.0,3.9,10.8,12,0,1.6,3
I feel overwhelmed when I look at the entire syllabus,Moderate,1,77.2,5.3,7.3,2,6,1.8,20
Exams do not bother me much this time,Low,0,66.0,7.3,4.5,2,6,2.3,56
I am calm and focused during my study sessions,Low,0,70.7,7.4,4.9,1,5,2.5,45
I cannot stop worrying about failing the exam at all,High,2,88.3,3.4,6.6,10,2,1.3,3
My preparation is going smoothly without much stress,Low,0,76.4,7.7,5.2,2,8,2.6,27
I cry frequently because of the unbearable exam pressure,High,2,90.3,6.1,8.2,12,0,1.3,10
I am calm and focused during my study sessions,Low,0,71.3,7.5,4.2,0,5,2.7,21
The thought of the exam fills me with dread and terror,High,2,107.0,4.8,10.0,7,1,1.6,1
I experience panic attacks when I think about exams,High,2,107.7,4.9,10.4,11,0,1.1,1
I cry frequently because of the unbearable exam pressure,High,2,100.6,3.5,7.1,6,2,1.3,1
I have been feeling restless lately because of exams,Moderate,1,69.6,4.5,6.4,2,4,1.9,17
I cry frequently because of the unbearable exam pressure,High,2,98.7,3.7,9.3,6,2,0.9,10
I feel tense when thinking about results but manage to study,Moderate,1,80.4,6.4,5.4,3,3,1.9,18
I have not been able to sleep for days because of exam fear,High,2,89.6,4.8,10.9,13,2,0.5,8
My mind goes completely blank whenever I try to study,High,2,88.2,5.3,9.5,14,0,1.1,4
I feel overwhelmed when I look at the entire syllabus,Moderate,1,84.0,6.3,5.9,4,6,2.2,9
I sleep well and feel mentally prepared,Low,0,73.5,6.8,5.5,2,5,2.5,57
I feel overwhelmed when I look at the entire syllabus,Moderate,1,85.3,6.8,9.0,3,6,2.1,15
I have been having severe headaches and chest tightness from stress,High,2,89.5,3.6,9.4,6,0,1.3,8
My mind goes completely blank whenever I try to study,High,2,84.8,5.0,7.9,14,0,1.1,10
Exams do not bother me much this time,Low,0,75.9,7.2,4.2,2,5,2.5,53
I feel moderate pressure from family expectations about results,Moderate,1,90.1,7.8,7.6,5,5,1.9,24
My preparation is going smoothly without much stress,Low,0,76.5,7.7,5.8,1,6,2.7,45
I feel extremely stressed and cannot focus on anything,High,2,95.7,3.2,9.6,7,2,1.0,6
The thought of the exam fills me with dread and terror,High,2,92.9,4.2,8.3,12,0,0.8,0
I sometimes procrastinate due to exam pressure and worry,Moderate,1,78.9,5.9,6.2,2,4,1.7,7
I feel extremely stressed and cannot focus on anything,High,2,97.8,4.5,7.5,7,0,1.6,2
I get nervous but can still function and study normally,Moderate,1,88.2,6.6,6.2,4,3,1.8,8
I feel good about my chances in the exam,Low,0,71.5,7.0,4.4,0,7,2.1,55
I have been feeling restless lately because of exams,Moderate,1,88.0,6.4,6.8,2,2,1.7,11
I have been feeling restless lately because of exams,Moderate,1,93.0,6.9,5.7,3,5,2.0,21
I feel tense when thinking about results but manage to study,Moderate,1,86.3,6.2,7.4,5,6,1.4,17
I manage my time well and feel in control,Low,0,71.9,7.4,5.3,1,6,2.3,40
I feel like everything depends on this exam and I might fail,High,2,100.4,2.8,9.0,8,2,1.2,3
I get nervous but can still function and study normally,Moderate,1,90.1,6.5,7.4,2,5,2.1,20
My heart races and I feel nauseous when exam date approaches,High,2,105.4,4.0,9.1,7,0,1.2,4
I have not been able to sleep for days because of exam fear,High,2,94.9,4.7,8.2,7,0,1.6,6
I cry frequently because of the unbearable exam pressure,High,2,80.2,5.1,5.9,14,0,1.2,2
I have been studying consistently and feel confident,Low,0,64.6,7.1,4.5,1,7,2.8,58
I am confident in my preparation and feel steady,Low,0,74.1,7.8,5.2,0,7,2.4,58
I feel overwhelmed when I look at the entire syllabus,Moderate,1,73.9,4.0,6.5,4,4,2.0,20
I sometimes procrastinate due to exam pressure and worry,Moderate,1,80.8,5.5,7.7,4,6,1.7,6
I feel good about my chances in the exam,Low,0,70.8,7.1,4.1,1,10,2.3,52
I am confident in my preparation and feel steady,Low,0,58.7,8.0,6.2,0,5,1.9,46
I get nervous but can still function and study normally,Moderate,1,90.8,6.0,6.0,4,2,1.6,12
I feel tense when thinking about results but manage to study,Moderate,1,95.0,8.2,7.6,5,4,1.7,22
I have been studying consistently and feel confident,Low,0,69.7,7.7,5.0,1,7,2.6,46
My heart races and I feel nauseous when exam date approaches,High,2,102.2,4.5,8.4,7,2,0.6,6
I worry a bit about failing but I keep studying,Moderate,1,85.5,5.8,7.7,5,2,2.4,15
I get nervous but can still function and study normally,Moderate,1,86.8,5.4,7.9,3,2,1.6,13
I have been feeling restless lately because of exams,Moderate,1,73.4,6.1,9.0,2,3,1.8,15
The thought of the exam fills me with dread and terror,High,2,103.0,4.5,9.6,11,1,0.9,6
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,89.5,5.1,7.6,2,3,2.2,21
I worry a bit about failing but I keep studying,Moderate,1,84.2,5.5,5.9,5,4,2.0,7
I feel completely hopeless and unprepared for the exams,High,2,110.9,4.1,9.5,13,1,0.7,6
I have not been able to sleep for days because of exam fear,High,2,100.6,4.4,11.1,10,2,1.1,8
I cannot stop worrying about failing the exam at all,High,2,90.1,5.8,8.6,9,1,1.2,7
I cannot stop worrying about failing the exam at all,High,2,95.6,4.8,10.3,7,2,1.2,10
My preparation is going smoothly without much stress,Low,0,75.1,7.0,4.7,0,8,2.0,39
I am calm and focused during my study sessions,Low,0,72.8,7.5,5.4,1,10,2.9,46
I manage my time well and feel in control,Low,0,69.6,7.4,3.9,2,6,2.1,24
I have been having severe headaches and chest tightness from stress,High,2,102.3,3.9,7.8,7,2,1.5,0
My preparation is going smoothly without much stress,Low,0,76.6,7.4,5.3,0,6,2.6,44
I feel moderate pressure from family expectations about results,Moderate,1,89.7,5.8,7.6,3,3,1.5,13
I feel extremely stressed and cannot focus on anything,High,2,102.4,3.0,9.1,6,2,1.4,1
I get anxious during revision but calm down after some time,Moderate,1,79.4,6.3,6.5,2,3,1.6,12
I am confident in my preparation and feel steady,Low,0,75.0,8.1,5.8,1,7,2.7,39
No major worries just some normal exam jitters,Low,0,72.6,7.6,4.6,2,10,2.5,21
I am calm and focused during my study sessions,Low,0,63.4,8.2,4.9,2,5,2.9,28
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,79.7,5.1,6.5,2,5,1.8,16
I am confident in my preparation and feel steady,Low,0,69.4,7.8,5.1,0,6,2.8,49
No major worries just some normal exam jitters,Low,0,66.8,6.5,7.1,1,7,2.2,22
I feel tense when thinking about results but manage to study,Moderate,1,77.7,6.7,7.9,4,5,2.2,9
My heart races and I feel nauseous when exam date approaches,High,2,87.3,4.6,10.5,9,2,1.4,5
The thought of the exam fills me with dread and terror,High,2,80.5,3.9,7.7,14,2,1.2,9
I feel overwhelmed when I look at the entire syllabus,Moderate,1,80.0,6.2,7.3,2,6,1.7,22
My heart races and I feel nauseous when exam date approaches,High,2,100.1,4.3,9.0,13,1,1.0,1
I have been studying consistently and feel confident,Low,0,71.9,7.8,5.1,0,6,2.2,45
I get anxious during revision but calm down after some time,Moderate,1,77.4,6.8,6.5,3,2,2.0,21
I cry frequently because of the unbearable exam pressure,High,2,108.9,5.2,10.6,11,0,1.1,5
I feel quite relaxed about my upcoming exams,Low,0,75.3,8.5,4.8,0,7,2.3,34
I am confident in my preparation and feel steady,Low,0,79.2,7.6,6.0,0,8,2.1,31
I cannot stop worrying about failing the exam at all,High,2,85.0,4.8,6.0,10,1,1.2,4
I feel like everything depends on this exam and I might fail,High,2,106.2,4.4,9.8,5,1,1.5,3
No major worries just some normal exam jitters,Low,0,79.3,8.0,7.2,2,5,2.3,24
I feel completely hopeless and unprepared for the exams,High,2,92.0,4.4,7.5,6,2,1.2,10
I have been studying consistently and feel confident,Low,0,77.8,7.5,4.0,0,6,2.6,32
I am constantly trembling and cannot eat or sleep properly,High,2,89.3,4.0,7.8,8,0,0.9,8
I enjoy studying and feel ready for assessments,Low,0,77.9,6.9,5.6,2,7,2.7,46
I get nervous but can still function and study normally,Moderate,1,80.1,5.8,6.2,4,4,1.4,17
I feel good about my chances in the exam,Low,0,67.9,7.6,5.2,0,8,2.3,27
I feel stressed but try to manage it with breaks,Moderate,1,76.7,5.3,8.0,3,2,2.3,9
I have been feeling restless lately because of exams,Moderate,1,78.3,6.9,5.8,5,2,2.1,11
I feel good about my chances in the exam,Low,0,73.4,6.9,7.4,2,5,2.5,26
I feel quite relaxed about my upcoming exams,Low,0,67.9,7.2,5.7,0,8,2.7,20
The thought of the exam fills me with dread and terror,High,2,103.9,3.9,6.7,14,0,1.2,1
I get nervous but can still function and study normally,Moderate,1,85.6,6.5,7.5,3,4,2.3,22
I get nervous but can still function and study normally,Moderate,1,83.5,5.0,6.7,2,5,1.6,23
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,93.4,5.8,8.8,4,3,2.0,17
Exams do not bother me much this time,Low,0,67.1,8.0,4.1,0,9,3.3,29
I feel quite relaxed about my upcoming exams,Low,0,73.9,7.7,6.0,1,5,2.6,40
I feel a little nervous but it motivates me positively,Low,0,81.2,7.0,3.5,1,5,2.3,56
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,89.8,6.0,5.2,2,2,2.2,13
I cannot stop worrying about failing the exam at all,High,2,100.2,3.5,6.0,9,1,0.4,10
I get nervous but can still function and study normally,Moderate,1,83.1,5.3,6.6,4,4,2.0,20
I feel quite relaxed about my upcoming exams,Low,0,69.3,7.2,4.7,0,10,1.8,41
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,89.1,7.5,5.4,2,4,1.2,17
I have not been able to sleep for days because of exam fear,High,2,101.3,4.4,7.2,10,1,1.5,2
My appetite has slightly reduced during exam preparation,Moderate,1,71.6,5.4,6.6,4,5,2.4,5
I have been feeling restless lately because of exams,Moderate,1,81.0,6.1,7.8,4,3,1.5,20
I feel overwhelmed when I look at the entire syllabus,Moderate,1,86.3,5.4,6.6,3,3,1.7,24
I worry a bit about failing but I keep studying,Moderate,1,88.1,4.5,6.9,3,4,1.6,14
My heart races and I feel nauseous when exam date approaches,High,2,90.6,4.2,7.8,9,0,1.1,0
I feel like everything depends on this exam and I might fail,High,2,94.2,6.1,8.0,5,0,1.1,2
I feel quite relaxed about my upcoming exams,Low,0,68.7,7.3,4.4,0,7,2.2,31
Exams do not bother me much this time,Low,0,71.4,7.4,5.6,0,6,2.7,46
I feel moderate pressure from family expectations about results,Moderate,1,80.4,5.9,6.9,4,5,1.7,21
I have been feeling restless lately because of exams,Moderate,1,78.1,5.6,6.5,3,6,1.5,17
I experience panic attacks when I think about exams,High,2,112.1,5.5,8.4,11,2,0.9,7
No major worries just some normal exam jitters,Low,0,68.4,7.8,4.3,0,5,2.6,24
I get nervous but can still function and study normally,Moderate,1,76.3,5.4,8.0,3,6,1.9,15
I get anxious during revision but calm down after some time,Moderate,1,85.6,6.3,6.3,5,3,1.6,21
I feel like everything depends on this exam and I might fail,High,2,98.4,4.6,6.2,13,1,0.9,5
I have been feeling restless lately because of exams,Moderate,1,85.5,5.4,8.4,4,2,2.0,11
I experience panic attacks when I think about exams,High,2,85.2,4.2,9.1,12,1,1.2,8
I feel completely hopeless and unprepared for the exams,High,2,100.8,3.8,12.7,10,0,1.3,8
I feel good about my chances in the exam,Low,0,82.3,8.4,4.8,1,7,2.8,22
I get anxious during revision but calm down after some time,Moderate,1,78.7,5.1,6.8,2,5,1.7,8
I sleep well and feel mentally prepared,Low,0,71.4,7.7,4.1,0,7,2.4,35
I manage my time well and feel in control,Low,0,72.4,6.9,6.0,1,10,2.4,26
I get nervous but can still function and study normally,Moderate,1,87.2,6.6,7.1,5,4,2.2,5
I have been studying consistently and feel confident,Low,0,70.9,7.9,5.5,1,7,2.5,35
I feel good about my chances in the exam,Low,0,65.3,7.0,6.2,1,5,2.3,28
I worry a bit about failing but I keep studying,Moderate,1,82.4,6.3,6.1,5,6,2.2,20
I feel a little nervous but it motivates me positively,Low,0,72.9,6.8,5.4,2,6,2.7,24
Exams do not bother me much this time,Low,0,72.6,7.8,5.7,2,7,2.2,33
I have been studying consistently and feel confident,Low,0,66.9,7.7,4.1,0,6,2.1,52
I worry a bit about failing but I keep studying,Moderate,1,81.6,7.0,5.7,5,4,2.0,20
My heart races and I feel nauseous when exam date approaches,High,2,90.1,6.0,9.1,11,2,1.4,1
I am confident in my preparation and feel steady,Low,0,74.6,9.4,5.6,2,6,2.8,39
I feel quite relaxed about my upcoming exams,Low,0,74.5,7.6,4.4,2,7,2.3,56
I feel completely hopeless and unprepared for the exams,High,2,90.6,4.7,6.4,6,1,1.0,1
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,79.3,6.1,6.3,4,4,1.4,7
My mind goes completely blank whenever I try to study,High,2,95.5,4.9,5.7,13,1,1.2,6
I have been feeling restless lately because of exams,Moderate,1,83.4,5.7,6.9,5,6,1.8,21
I have been having severe headaches and chest tightness from stress,High,2,104.8,4.0,7.8,10,0,1.2,8
I have been feeling restless lately because of exams,Moderate,1,84.5,6.6,7.0,2,2,1.9,11
I manage my time well and feel in control,Low,0,68.6,7.6,4.2,2,9,3.1,44
I enjoy studying and feel ready for assessments,Low,0,78.0,7.4,5.0,1,5,2.2,45
I feel extremely stressed and cannot focus on anything,High,2,97.4,3.4,8.4,10,1,1.2,4
I sleep well and feel mentally prepared,Low,0,62.0,7.7,6.2,0,9,2.1,46
I feel quite relaxed about my upcoming exams,Low,0,70.7,7.0,4.6,0,8,2.6,59
I am calm and focused during my study sessions,Low,0,66.8,7.4,4.1,1,10,2.1,52
I feel completely hopeless and unprepared for the exams,High,2,99.9,4.5,10.6,12,2,1.3,10
My appetite has slightly reduced during exam preparation,Moderate,1,85.5,7.0,7.7,4,2,1.3,6
I feel moderate pressure from family expectations about results,Moderate,1,80.3,6.1,7.6,4,4,1.6,13
I feel stressed but try to manage it with breaks,Moderate,1,76.4,6.6,7.2,5,6,2.0,9
I enjoy studying and feel ready for assessments,Low,0,73.8,7.8,6.1,0,7,2.8,53
I get anxious during revision but calm down after some time,Moderate,1,73.9,6.5,6.6,2,6,1.5,6
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,87.3,4.7,6.6,5,2,1.9,13
I feel good about my chances in the exam,Low,0,74.3,8.6,4.4,2,10,2.8,54
I have been having severe headaches and chest tightness from stress,High,2,101.5,3.8,9.1,12,1,0.6,3
I feel a little nervous but it motivates me positively,Low,0,62.6,7.3,5.0,2,9,3.0,40
My appetite has slightly reduced during exam preparation,Moderate,1,88.8,7.1,5.8,4,5,1.6,12
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,81.8,6.0,7.6,5,3,2.0,21
Exams do not bother me much this time,Low,0,75.1,8.5,5.0,0,7,2.3,55
I cannot stop worrying about failing the exam at all,High,2,107.5,4.1,9.1,5,2,1.1,1
I cry frequently because of the unbearable exam pressure,High,2,107.4,3.3,8.1,7,0,1.3,4
I feel good about my chances in the exam,Low,0,72.7,7.4,5.7,2,6,2.8,24
I sleep well and feel mentally prepared,Low,0,72.4,7.4,5.1,1,7,1.9,33
I feel moderate pressure from family expectations about results,Moderate,1,81.0,6.2,8.6,3,3,2.1,14
No major worries just some normal exam jitters,Low,0,73.1,8.2,3.4,0,8,2.6,44
I have been having severe headaches and chest tightness from stress,High,2,109.4,3.7,7.3,12,2,1.5,3
I worry a bit about failing but I keep studying,Moderate,1,83.4,6.2,8.4,5,2,1.4,14
I feel completely hopeless and unprepared for the exams,High,2,110.1,4.5,7.2,10,0,1.3,7
I am constantly trembling and cannot eat or sleep properly,High,2,112.7,3.3,10.7,14,0,1.5,2
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,83.4,6.6,7.5,5,5,1.5,19
I cry frequently because of the unbearable exam pressure,High,2,97.9,5.0,8.7,12,1,0.9,2
I get nervous but can still function and study normally,Moderate,1,82.4,4.8,6.8,4,4,2.3,10
I sometimes procrastinate due to exam pressure and worry,Moderate,1,85.7,5.3,7.1,5,6,1.9,24
I cannot stop worrying about failing the exam at all,High,2,85.1,3.6,6.0,13,0,1.2,1
I am constantly trembling and cannot eat or sleep properly,High,2,97.8,5.2,8.6,13,2,1.6,2
I feel good about my chances in the exam,Low,0,68.6,7.6,5.3,2,7,2.3,41
I am calm and focused during my study sessions,Low,0,69.4,8.0,4.3,1,8,2.1,21
Exams do not bother me much this time,Low,0,75.9,7.7,4.0,1,10,2.5,25
The thought of the exam fills me with dread and terror,High,2,96.1,6.8,6.5,13,2,1.5,10
The thought of the exam fills me with dread and terror,High,2,82.7,4.9,5.9,7,2,1.1,0
I feel like everything depends on this exam and I might fail,High,2,94.4,4.1,9.1,14,2,0.7,5
I worry a bit about failing but I keep studying,Moderate,1,88.7,5.3,7.5,4,5,1.7,7
I am constantly trembling and cannot eat or sleep properly,High,2,89.7,4.5,7.0,8,2,1.4,10
I get nervous but can still function and study normally,Moderate,1,70.2,8.2,8.1,5,2,1.9,14
I feel a little nervous but it motivates me positively,Low,0,72.5,7.9,5.5,0,6,2.6,53
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,94.2,6.3,6.1,5,4,2.0,15
I feel moderate pressure from family expectations about results,Moderate,1,83.1,6.6,6.1,5,5,2.3,7
I feel like everything depends on this exam and I might fail,High,2,111.9,3.8,8.2,12,0,1.2,6
No major worries just some normal exam jitters,Low,0,80.0,7.1,4.0,2,10,1.9,28
I feel stressed but try to manage it with breaks,Moderate,1,86.4,6.7,6.7,5,3,1.6,6
I feel completely hopeless and unprepared for the exams,High,2,99.9,2.9,5.9,13,2,1.4,5
I sometimes procrastinate due to exam pressure and worry,Moderate,1,85.5,6.3,7.0,3,5,2.0,6
The thought of the exam fills me with dread and terror,High,2,88.6,3.2,8.5,12,0,1.1,1
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,87.1,5.2,7.7,3,4,1.9,23
The thought of the exam fills me with dread and terror,High,2,102.5,4.0,7.9,5,1,1.1,6
I sometimes procrastinate due to exam pressure and worry,Moderate,1,79.4,5.8,5.4,2,6,1.7,16
I get anxious during revision but calm down after some time,Moderate,1,82.4,5.7,6.1,5,5,2.0,12
I have been studying consistently and feel confident,Low,0,73.8,7.2,5.4,0,5,3.0,44
No major worries just some normal exam jitters,Low,0,72.2,7.1,5.3,1,5,2.5,26
I feel good about my chances in the exam,Low,0,66.5,6.4,5.4,1,10,3.2,36
I have been studying consistently and feel confident,Low,0,74.6,7.2,5.0,0,6,3.1,39
I feel extremely stressed and cannot focus on anything,High,2,89.7,3.9,6.3,13,1,1.3,3
The thought of the exam fills me with dread and terror,High,2,115.1,5.4,10.1,11,0,1.2,8
No major worries just some normal exam jitters,Low,0,69.1,7.6,7.6,0,8,2.5,36
I feel a little nervous but it motivates me positively,Low,0,81.8,7.5,4.3,2,10,2.6,29
I feel like everything depends on this exam and I might fail,High,2,103.6,4.9,8.7,5,0,1.1,4
I feel completely hopeless and unprepared for the exams,High,2,98.8,6.5,6.2,8,0,1.2,0
I get anxious during revision but calm down after some time,Moderate,1,73.8,6.4,7.6,4,4,1.8,24
I have been studying consistently and feel confident,Low,0,73.5,6.6,3.7,2,8,2.7,28
I am confident in my preparation and feel steady,Low,0,72.2,7.5,4.3,0,8,2.3,29
I have been feeling restless lately because of exams,Moderate,1,88.7,6.4,7.7,3,2,2.0,21
I feel good about my chances in the exam,Low,0,82.1,7.6,4.6,1,10,2.6,39
I feel extremely stressed and cannot focus on anything,High,2,101.0,5.8,9.6,6,2,1.3,5
I have not been able to sleep for days because of exam fear,High,2,86.6,4.6,10.0,12,2,1.7,4
I get anxious during revision but calm down after some time,Moderate,1,90.6,5.4,7.5,2,2,1.9,5
I cannot stop worrying about failing the exam at all,High,2,87.3,4.3,8.5,13,1,1.3,3
I feel tense when thinking about results but manage to study,Moderate,1,91.5,6.6,8.0,4,4,2.2,19
I enjoy studying and feel ready for assessments,Low,0,64.4,8.1,4.4,0,10,3.3,24
No major worries just some normal exam jitters,Low,0,75.1,7.1,3.9,1,8,2.6,21
I feel tense when thinking about results but manage to study,Moderate,1,82.4,6.3,5.4,5,4,1.5,22
I feel good about my chances in the exam,Low,0,72.3,8.0,3.3,2,9,3.0,58
I experience panic attacks when I think about exams,High,2,92.2,4.8,12.5,14,1,1.0,5
No major worries just some normal exam jitters,Low,0,65.9,7.9,4.8,1,8,2.4,20
I feel quite relaxed about my upcoming exams,Low,0,76.1,8.2,4.9,2,6,2.8,38
I get anxious during revision but calm down after some time,Moderate,1,78.1,6.8,7.0,5,5,1.8,19
I have been studying consistently and feel confident,Low,0,73.1,6.9,5.2,2,8,2.6,24
I manage my time well and feel in control,Low,0,77.7,7.1,5.0,0,9,3.0,58
I feel tense when thinking about results but manage to study,Moderate,1,69.7,7.1,5.6,4,3,1.7,22
I have been feeling restless lately because of exams,Moderate,1,88.1,5.9,7.4,3,6,1.8,14
I have been having severe headaches and chest tightness from stress,High,2,100.7,3.9,6.9,5,0,1.3,9
I feel completely hopeless and unprepared for the exams,High,2,106.0,4.1,8.0,10,1,0.6,5
I feel extremely stressed and cannot focus on anything,High,2,112.7,3.7,8.5,8,0,1.3,9
I experience panic attacks when I think about exams,High,2,103.1,5.1,9.1,12,0,1.3,1
I feel moderate pressure from family expectations about results,Moderate,1,71.1,6.5,5.9,4,2,1.9,18
I feel extremely stressed and cannot focus on anything,High,2,91.3,3.8,8.7,11,2,0.9,9
I feel good about my chances in the exam,Low,0,80.1,7.7,4.8,0,8,2.8,38
I feel like everything depends on this exam and I might fail,High,2,94.1,3.0,8.3,9,0,0.9,10
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,88.4,7.3,6.6,4,2,2.0,23
My heart races and I feel nauseous when exam date approaches,High,2,96.8,6.1,9.4,12,1,1.2,3
I am confident in my preparation and feel steady,Low,0,73.8,7.3,5.0,0,6,2.9,33
I am calm and focused during my study sessions,Low,0,71.2,7.7,6.9,0,6,2.6,56
Exams do not bother me much this time,Low,0,71.7,7.7,5.3,0,8,2.6,27
I feel completely hopeless and unprepared for the exams,High,2,93.8,5.5,9.6,13,0,1.6,5
I feel moderate pressure from family expectations about results,Moderate,1,84.1,6.7,4.3,5,6,2.0,23
I experience panic attacks when I think about exams,High,2,89.2,4.5,10.0,6,0,0.7,0
No major worries just some normal exam jitters,Low,0,75.8,7.7,6.3,0,5,2.7,55
I sleep well and feel mentally prepared,Low,0,75.0,7.6,4.6,1,5,2.6,54
I enjoy studying and feel ready for assessments,Low,0,74.6,7.6,5.3,0,10,2.6,27
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,85.1,4.9,7.1,2,2,1.7,18
I worry a bit about failing but I keep studying,Moderate,1,84.5,5.1,7.3,4,6,1.8,7
My mind goes completely blank whenever I try to study,High,2,104.1,4.9,9.0,5,0,1.1,10
No major worries just some normal exam jitters,Low,0,82.3,8.1,6.0,0,8,2.7,52
I have been feeling restless lately because of exams,Moderate,1,79.6,5.9,5.3,4,3,1.6,19
I feel extremely stressed and cannot focus on anything,High,2,81.3,3.7,11.2,8,1,1.8,10
I experience panic attacks when I think about exams,High,2,95.4,2.0,9.3,13,1,1.1,7
I get nervous but can still function and study normally,Moderate,1,85.3,5.9,8.8,3,5,2.3,12
Exams do not bother me much this time,Low,0,72.5,7.2,3.4,0,9,2.5,51
I feel like everything depends on this exam and I might fail,High,2,97.6,5.1,6.6,14,2,1.3,10
I am constantly trembling and cannot eat or sleep properly,High,2,88.1,3.3,10.0,14,2,1.4,9
I am calm and focused during my study sessions,Low,0,68.4,7.4,4.9,2,10,2.7,44
I feel extremely stressed and cannot focus on anything,High,2,107.0,3.6,10.9,12,0,1.5,4
I feel extremely stressed and cannot focus on anything,High,2,105.2,4.7,10.9,11,2,1.3,4
I feel extremely stressed and cannot focus on anything,High,2,97.7,3.6,9.4,8,0,1.5,4
I get anxious during revision but calm down after some time,Moderate,1,78.4,5.3,7.8,4,3,1.7,19
I have been having severe headaches and chest tightness from stress,High,2,93.1,3.9,9.6,11,0,1.3,5
I have not been able to sleep for days because of exam fear,High,2,108.9,4.2,11.0,8,1,0.8,8
